state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,samplesizeadj
Virginia,2016-10-02,2016-10-06,Roanoke College,C+,814.0,lv,45.0,36.0,45.12847,40.99464,814.0
North Carolina,2016-10-14,2016-10-27,Ipsos,A-,644.0,lv,47.99,43.77,46.83923,44.61371,644.0
Indiana,2016-10-28,2016-11-03,Ipsos,A-,303.0,lv,37.96,52.81,36.1713,51.10776,303.0
U.S.,2016-08-15,2016-09-12,Utah Valley University,,854.0,lv,44.8,35.0,47.05337,40.01741,854.0
Florida,2016-10-20,2016-10-20,Opinion Savvy/InsiderAdvantage,C-,538.0,lv,49.0,45.0,48.17234,46.87495,538.0
New Mexico,2016-08-19,2016-08-21,Public Policy Polling,B+,1103.0,v,40.0,31.0,42.53116,35.6482,1103.0
Tennessee,2016-10-25,2016-10-31,Google Consumer Surveys,B,422.0,lv,31.36,42.27,36.77608,48.81601,422.0
Iowa,2016-08-17,2016-08-19,YouGov,B,987.0,lv,40.0,40.0,43.14241,44.58649,987.0
Virginia,2016-10-20,2016-10-22,Remington,,1787.0,lv,48.0,43.0,47.92311,43.8088,1787.0
Texas,2016-09-07,2016-09-10,Emerson College,B,700.0,lv,36.1,42.4,38.48522,43.55873,700.0
U.S.,2016-08-25,2016-08-28,Monmouth University,A+,689.0,lv,46.0,39.0,47.45644,42.22385,689.0
Oregon,2016-10-25,2016-10-31,Google Consumer Surveys,B,429.0,lv,37.6,30.6,43.04437,37.26079,429.0
Georgia,2016-10-28,2016-11-03,Ipsos,A-,433.0,lv,41.76,48.13,40.96496,47.40577,433.0
Wisconsin,2016-08-27,2016-08-30,Monmouth University,A+,404.0,lv,43.0,38.0,44.58287,41.32312,404.0
Illinois,2016-10-28,2016-11-03,Ipsos,A-,511.0,lv,51.74,38.99,51.18422,38.52694,511.0
Rhode Island,2016-09-02,2016-09-05,Emerson College,B,800.0,lv,44.0,41.0,47.10255,43.23328,800.0
U.S.,2016-10-23,2016-10-28,IBD/TIPP,A-,1013.0,lv,44.5,40.6,46.4947,41.70414,1013.0
North Carolina,2016-10-28,2016-11-03,Ipsos,A-,362.0,lv,46.83,47.7,46.28286,47.23236,362.0
U.S.,2016-10-25,2016-10-29,Ipsos,A-,1247.0,lv,42.6,37.1,42.73172,38.18154,1247.0
Kentucky,2016-10-25,2016-10-31,Google Consumer Surveys,B,363.0,lv,29.49,41.4,34.90742,47.95141,363.0
Michigan,2016-10-28,2016-11-03,Ipsos,A-,327.0,lv,43.33,43.13,42.14359,42.04092,327.0
Massachusetts,2016-10-28,2016-11-03,Ipsos,A-,346.0,lv,52.57,36.76,51.54534,35.87413,346.0
Massachusetts,2016-10-25,2016-10-31,Google Consumer Surveys,B,491.0,lv,46.3,24.67,51.7808,31.47865,491.0
U.S.,2016-10-29,2016-11-04,CVOTER International,C+,1479.0,lv,49.06,47.82,47.15442,43.89729,1479.0
Virginia,2016-10-28,2016-11-03,Ipsos,A-,561.0,lv,48.83,41.92,48.15875,41.3368,561.0
U.S.,2016-11-02,2016-11-04,The Times-Picayune/Lucid,,2561.0,lv,45.0,39.0,45.37288,41.39494,2561.0
California,2016-08-23,2016-08-30,Tulchin Research,B,601.0,rv,52.0,31.0,56.24947,35.4756,601.0
Minnesota,2016-10-25,2016-10-31,Google Consumer Surveys,B,688.0,lv,34.77,28.58,40.20691,35.2105,688.0
New Hampshire,2016-09-20,2016-09-25,American Research Group,C+,522.0,rv,46.0,42.0,48.75175,45.42633,522.0
U.S.,2016-09-16,2016-09-19,NBC News/Wall Street Journal,A-,922.0,lv,43.0,37.0,44.82152,40.76303,922.0
U.S.,2016-10-27,2016-10-28,Morning Consult,,1794.0,lv,42.0,39.0,43.47366,41.36536,1794.0
Indiana,2016-10-14,2016-10-27,Ipsos,A-,368.0,lv,38.9,53.54,36.50417,53.21287,368.0
Colorado,2016-10-25,2016-10-31,Google Consumer Surveys,B,637.0,lv,42.67,27.9,48.11072,34.54599,637.0
Ohio,2016-08-26,2016-08-27,Public Policy Polling,B+,1134.0,lv,46.0,42.0,45.27125,42.43681,1134.0
Florida,2016-09-15,2016-09-20,Cherry Communications,C,617.0,lv,43.0,41.0,45.82576,44.22097,617.0
Missouri,2016-10-25,2016-10-31,Google Consumer Surveys,B,726.0,lv,37.32,38.14,42.73581,44.68488,726.0
North Carolina,2016-09-05,2016-09-07,Suffolk University,B+,500.0,lv,41.0,44.0,43.3518,47.27016,500.0
New Jersey,2016-10-28,2016-11-03,Ipsos,A-,557.0,lv,49.72,36.13,49.66607,36.17754,557.0
Georgia,2016-10-25,2016-10-31,Google Consumer Surveys,B,540.0,lv,32.92,41.56,38.31208,48.00859,540.0
North Carolina,2016-09-12,2016-09-16,Elon University,B+,644.0,lv,43.0,44.0,45.54429,48.04921,644.0
Pennsylvania,2016-10-28,2016-11-03,Ipsos,A-,485.0,lv,48.15,44.04,47.51358,43.48998,485.0
Texas,2016-10-28,2016-11-03,Ipsos,A-,705.0,lv,39.55,49.4,38.80141,48.74032,705.0
Ohio,2016-10-28,2016-11-03,Ipsos,A-,554.0,lv,46.97,45.49,46.05854,44.67344,554.0
Arizona,2016-10-25,2016-10-31,Google Consumer Surveys,B,656.0,lv,37.89,32.88,43.32025,39.4835,656.0
New York,2016-10-28,2016-11-03,Ipsos,A-,552.0,lv,56.42,34.22,56.11654,34.01435,552.0
District of Columbia,2016-10-20,2016-10-28,SurveyMonkey,C-,487.0,lv,87.0,5.0,85.6636,6.666615,487.0
Washington,2016-10-25,2016-10-31,Google Consumer Surveys,B,625.0,lv,43.73,26.69,49.17799,33.36548,625.0
California,2016-09-12,2016-09-14,Insights West,,515.0,lv,57.0,30.0,59.69646,33.41259,515.0
Pennsylvania,2016-08-26,2016-08-29,Monmouth University,A+,402.0,lv,48.0,40.0,49.35268,43.04426,402.0
Georgia,2016-09-09,2016-09-13,Emerson College,B,600.0,lv,39.0,45.0,41.13737,45.79131,600.0
Maine,2016-10-07,2016-10-09,Maine People's Resource Center,C,892.0,lv,44.0,36.1,45.97712,40.00915,892.0
Indiana,2016-10-25,2016-10-31,Google Consumer Surveys,B,764.0,lv,36.46,33.82,41.87252,40.35155,764.0
Washington,2016-09-12,2016-09-14,Insights West,,505.0,lv,38.0,28.0,40.87848,31.64705,505.0
Colorado,2016-09-09,2016-09-13,Emerson College,B,600.0,lv,38.0,42.0,40.58339,43.36655,600.0
Maine,2016-09-02,2016-09-05,Emerson College,B,800.0,lv,44.0,35.0,46.92659,36.99561,800.0
Alabama,2016-10-07,2016-10-27,Ipsos,A-,452.0,lv,38.93,51.28,37.71573,52.31562,452.0
U.S.,2016-10-31,2016-11-06,USC Dornsife/LA Times,,2935.0,lv,43.23,47.98,44.98547,44.55796,2935.0
U.S.,2016-10-22,2016-10-27,IBD/TIPP,A-,973.0,lv,43.8,40.8,45.76269,42.13348,973.0
Arizona,2016-09-12,2016-09-14,Insights West,,484.0,lv,33.0,37.0,35.71858,40.44109,484.0
U.S.,2016-09-27,2016-09-29,Fox News/Anderson Robbins Research/Shaw & Company Research,A,911.0,lv,43.0,40.0,45.69094,43.05621,911.0
Arizona,2016-10-17,2016-10-18,Data Orbital,,550.0,lv,41.0,41.0,41.74547,43.71492,550.0
U.S.,2016-09-12,2016-09-25,RAND (American Life Panel),B-,2516.0,lv,43.3,33.4,44.85952,38.50826,2516.0
U.S.,2016-10-24,2016-10-28,Ipsos,A-,1196.0,lv,41.0,38.1,41.12287,39.40561,1196.0
New York,2016-09-11,2016-09-15,Siena College,A,600.0,lv,51.0,30.0,53.6834,34.32684,600.0
South Carolina,2016-09-07,2016-09-09,Starboard Communications,,600.0,lv,35.0,48.0,38.21612,50.63049,600.0
Georgia,2016-10-14,2016-10-27,Ipsos,A-,583.0,lv,43.11,47.84,41.71573,48.34739,583.0
Kentucky,2016-09-14,2016-09-16,Google Consumer Surveys,B,815.0,a,23.9,35.4,32.63336,47.11359,815.0
U.S.,2016-09-01,2016-09-27,Public Religion Research Institute,,1296.0,lv,49.0,41.0,50.30697,45.02144,1296.0
North Carolina,2016-08-30,2016-09-02,YouGov,B,1088.0,lv,46.0,42.0,49.15298,45.36491,1088.0
Virginia,2016-10-25,2016-10-31,Google Consumer Surveys,B,661.0,lv,38.73,33.85,44.14459,40.38993,661.0
North Carolina,2016-10-25,2016-10-31,Google Consumer Surveys,B,725.0,lv,34.4,40.6,39.80344,47.09468,725.0
California,2016-10-28,2016-11-03,Ipsos,A-,742.0,lv,60.4,30.34,59.84241,29.88058,742.0
U.S.,2016-10-24,2016-10-30,CVOTER International,C+,1299.0,lv,48.81,47.71,46.66634,44.54563,1299.0
Michigan,2016-10-21,2016-10-27,Ipsos,A-,335.0,lv,41.34,37.11,39.70369,37.16785,335.0
Delaware,2016-10-20,2016-10-28,SurveyMonkey,C-,548.0,lv,52.0,36.0,50.61913,37.22035,548.0
New Jersey,2016-10-14,2016-10-27,Ipsos,A-,800.0,lv,50.95,34.25,50.28137,35.81005,800.0
U.S.,2016-09-17,2016-09-20,American Research Group,C+,990.0,rv,47.0,44.0,47.17146,44.57127,990.0
South Carolina,2016-10-07,2016-10-27,Ipsos,A-,282.0,lv,43.53,48.62,42.44657,49.84539,282.0
Nevada,2016-09-12,2016-09-14,Insights West,,398.0,lv,40.0,42.0,42.66753,45.37534,398.0
U.S.,2016-10-21,2016-10-26,IBD/TIPP,A-,945.0,lv,42.6,41.4,44.52616,42.92971,945.0
Nebraska,2016-10-13,2016-11-02,Ipsos,A-,328.0,lv,31.34,52.38,29.693,52.65447,328.0
Texas,2016-08-12,2016-08-14,Public Policy Polling,B+,944.0,lv,38.0,44.0,39.14972,47.93856,944.0
Kansas,2016-09-06,2016-09-11,SurveyUSA,A,595.0,lv,36.0,48.0,37.25072,50.07686,595.0
U.S.,2016-10-28,2016-11-03,CVOTER International,C+,1395.0,lv,48.53,48.44,46.59161,44.62636,1395.0
Connecticut,2016-10-07,2016-10-27,Ipsos,A-,401.0,lv,51.05,36.25,49.40938,37.44158,401.0
Michigan,2016-10-25,2016-10-31,Google Consumer Surveys,B,677.0,lv,37.5,34.9,42.9267,41.48911,677.0
U.S.,2016-10-23,2016-10-27,Ipsos,A-,1158.0,lv,41.7,36.4,41.79086,37.93496,1158.0
Kentucky,2016-10-07,2016-10-27,Ipsos,A-,463.0,lv,37.65,56.14,36.40001,57.4368,463.0
Michigan,2016-08-22,2016-08-24,Suffolk University,B+,500.0,lv,43.6,37.2,46.18322,41.24046,500.0
Wisconsin,2016-10-25,2016-10-31,Google Consumer Surveys,B,816.0,lv,41.21,28.69,46.64497,35.31264,816.0
Virginia,2016-10-14,2016-10-27,Ipsos,A-,697.0,lv,48.11,39.3,46.83083,40.1064,697.0
North Carolina,2016-08-20,2016-08-23,Monmouth University,A+,401.0,lv,44.0,42.0,45.17937,45.12643,401.0
Florida,2016-10-28,2016-11-03,Ipsos,A-,916.0,lv,47.88,46.89,47.79242,46.89574,916.0
Virginia,2016-09-09,2016-09-11,Public Policy Polling,B+,878.0,lv,45.0,39.0,46.76358,41.48198,878.0
Missouri,2016-08-26,2016-08-27,Public Policy Polling,B+,1055.0,lv,41.0,47.0,40.02211,47.15478,1055.0
Mississippi,2016-10-13,2016-11-02,Ipsos,A-,261.0,lv,31.66,56.41,31.21768,57.52784,261.0
Ohio,2016-09-22,2016-09-23,Gravis Marketing,B-,850.0,rv,42.0,43.0,43.96855,45.28018,850.0
West Virginia,2016-10-20,2016-10-24,Google Consumer Surveys,B,140.0,lv,24.58,47.56,29.91036,55.3942,140.0
Pennsylvania,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,47.0,40.0,47.64581,41.5618,525.0
New Hampshire,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,47.0,39.0,47.70671,40.91926,525.0
North Carolina,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,47.0,44.0,47.6372,45.51126,525.0
Nevada,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,43.0,42.0,43.65744,43.63009,525.0
Ohio,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,46.0,42.0,46.65642,43.6241,525.0
South Dakota,2016-10-20,2016-10-24,Google Consumer Surveys,B,125.0,lv,29.92,41.88,35.2542,49.76352,125.0
Arizona,2016-08-18,2016-08-23,CNN/Opinion Research Corp.,A-,809.0,lv,38.0,45.0,39.64687,46.792,809.0
U.S.,2016-09-08,2016-09-13,Quinnipiac University,A-,960.0,lv,41.0,39.0,43.91534,41.20275,960.0
Oregon,2016-10-07,2016-10-27,Ipsos,A-,592.0,lv,46.26,37.69,44.43735,38.67768,592.0
Florida,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,42.0,48.0,42.65446,49.61259,525.0
Texas,2016-10-25,2016-10-31,Google Consumer Surveys,B,1260.0,lv,31.53,43.03,36.94571,49.57449,1260.0
Rhode Island,2016-10-20,2016-10-28,SurveyMonkey,C-,518.0,lv,48.0,37.0,46.66343,38.66491,518.0
North Dakota,2016-10-20,2016-10-28,SurveyMonkey,C-,333.0,lv,31.0,54.0,29.64287,55.45858,333.0
Vermont,2016-09-16,2016-10-06,Ipsos,A-,102.0,lv,46.34,21.29,46.13985,22.27771,102.0
Missouri,2016-10-09,2016-10-11,Remington,,2171.0,lv,42.0,47.0,42.34168,48.6708,2171.0
Vermont,2016-10-20,2016-10-24,Google Consumer Surveys,B,96.0,lv,55.01,14.83,60.36241,22.94804,96.0
South Carolina,2016-08-18,2016-08-21,Feldman Group,B-,600.0,lv,39.0,39.0,40.73744,44.30519,600.0
New Jersey,2016-10-25,2016-10-31,Google Consumer Surveys,B,916.0,lv,38.54,33.18,43.9721,39.79101,916.0
North Dakota,2016-09-23,2016-10-13,Ipsos,A-,105.0,lv,34.67,44.9,33.00653,45.40984,105.0
North Carolina,2016-08-18,2016-08-23,CNN/Opinion Research Corp.,A-,803.0,lv,45.0,45.0,46.39397,46.40237,803.0
U.S.,2016-11-01,2016-11-03,The Times-Picayune/Lucid,,2627.0,lv,44.0,39.0,44.41354,41.49658,2627.0
U.S.,2016-10-30,2016-11-05,USC Dornsife/LA Times,,2988.0,lv,42.63,48.16,44.39404,44.80749,2988.0
U.S.,2016-09-19,2016-09-22,ABC News/Washington Post,A+,651.0,lv,46.0,44.0,46.44742,45.67364,651.0
Illinois,2016-10-21,2016-10-27,Ipsos,A-,475.0,lv,55.55,34.57,54.54634,35.22175,475.0
Alaska,2016-10-20,2016-10-28,SurveyMonkey,C-,448.0,lv,33.0,45.0,31.63723,46.40195,448.0
U.S.,2016-10-22,2016-10-26,Ipsos,A-,1176.0,lv,42.3,36.7,42.35433,38.43119,1176.0
Nevada,2016-09-06,2016-09-07,Public Policy Polling,B+,815.0,lv,45.0,42.0,44.10938,41.95399,815.0
U.S.,2016-10-20,2016-10-25,IBD/TIPP,A-,921.0,lv,41.8,41.2,43.70783,42.90804,921.0
Maine,2016-10-20,2016-10-24,Google Consumer Surveys,B,101.0,lv,46.47,26.61,51.82146,34.71584,101.0
U.S.,2016-10-27,2016-10-30,Morning Consult,,825.0,lv,51.0,48.0,51.47529,49.15202,825.0
Ohio,2016-10-25,2016-10-31,Google Consumer Surveys,B,982.0,lv,33.35,35.38,38.77352,41.9562,982.0
Idaho,2016-10-20,2016-10-24,Google Consumer Surveys,B,191.0,lv,27.77,37.57,33.103,45.43821,191.0
Hawaii,2016-10-20,2016-10-28,SurveyMonkey,C-,522.0,lv,49.0,31.0,47.64529,32.48287,522.0
U.S.,2016-09-22,2016-09-25,Public Religion Research Institute,,461.0,lv,43.0,43.0,41.70695,44.60085,461.0
Iowa,2016-08-31,2016-09-01,Emerson College,B,600.0,lv,39.0,44.0,41.7254,45.80754,600.0
Michigan,2016-08-25,2016-08-28,Emerson College,B,800.0,lv,44.9,39.5,47.4734,41.27169,800.0
U.S.,2016-09-10,2016-09-16,Saint Leo University,C+,1005.0,lv,46.2,41.0,47.23742,46.47872,1005.0
Ohio,2016-08-18,2016-08-21,Monmouth University,A+,402.0,lv,43.0,39.0,44.23788,42.59518,402.0
Alaska,2016-10-20,2016-10-24,Google Consumer Surveys,B,86.0,lv,37.32,33.15,42.65957,41.10276,86.0
Wyoming,2016-10-20,2016-10-24,Google Consumer Surveys,B,92.0,lv,20.8,52.8,26.13374,60.67764,92.0
Montana,2016-10-20,2016-10-28,SurveyMonkey,C-,490.0,lv,35.0,51.0,33.63522,52.38176,490.0
Missouri,2016-08-19,2016-08-22,Monmouth University,A+,401.0,lv,43.0,44.0,44.24393,47.3857,401.0
Pennsylvania,2016-10-21,2016-10-27,Ipsos,A-,445.0,lv,48.03,45.87,46.94845,46.39083,445.0
U.S.,2016-08-24,2016-08-29,Suffolk University,B+,1000.0,lv,42.0,35.0,44.58563,38.87337,1000.0
Colorado,2016-10-03,2016-10-04,Gravis Marketing,B-,1246.0,rv,40.0,40.0,40.93428,42.79353,1246.0
U.S.,2016-09-01,2016-09-04,CNN/Opinion Research Corp.,A-,786.0,lv,43.0,45.0,44.73893,46.17627,786.0
U.S.,2016-10-21,2016-10-25,Ipsos,A-,1195.0,lv,43.1,36.4,43.136,38.30952,1195.0
West Virginia,2016-10-14,2016-11-02,Ipsos,A-,228.0,lv,33.94,57.74,32.68414,58.21232,228.0
Indiana,2016-09-06,2016-09-08,Public Opinion Strategies,B,600.0,lv,36.0,43.0,38.62227,47.60618,600.0
Illinois,2016-10-25,2016-10-31,Google Consumer Surveys,B,1185.0,lv,42.66,28.26,48.08068,34.82465,1185.0
U.S.,2016-10-27,2016-11-02,CVOTER International,C+,1329.0,lv,48.78,48.22,46.79931,44.56131,1329.0
South Carolina,2016-08-09,2016-08-10,Public Policy Polling,B+,1290.0,v,39.0,41.0,40.54227,45.68012,1290.0
Pennsylvania,2016-10-25,2016-10-31,Google Consumer Surveys,B,1029.0,lv,36.86,39.45,42.27243,45.98119,1029.0
Ohio,2016-10-21,2016-10-27,Ipsos,A-,508.0,lv,44.85,45.17,43.48971,45.4834,508.0
Maine,2016-10-07,2016-10-27,Ipsos,A-,206.0,lv,45.5,39.17,43.30573,39.98436,206.0
Iowa,2016-09-06,2016-09-08,RABA Research,C+,1054.0,lv,39.0,40.0,42.25824,44.52429,1054.0
Nevada,2016-10-24,2016-10-26,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,43.0,44.62537,44.85991,525.0
New Hampshire,2016-10-24,2016-10-26,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,48.0,39.0,48.66873,41.19135,525.0
New Mexico,2016-10-07,2016-10-27,Ipsos,A-,141.0,lv,48.54,39.41,43.9759,37.55999,141.0
New York,2016-10-21,2016-10-27,Ipsos,A-,498.0,lv,51.97,30.28,51.21643,31.2246,498.0
Hawaii,2016-10-20,2016-10-24,Google Consumer Surveys,B,72.0,lv,46.73,27.11,52.07689,35.157,72.0
Arkansas,2016-10-20,2016-10-24,Google Consumer Surveys,B,206.0,lv,36.72,38.33,42.04025,46.03395,206.0
New Hampshire,2016-10-07,2016-10-27,Ipsos,A-,164.0,lv,44.41,40.21,42.10359,41.02376,164.0
Delaware,2016-10-07,2016-10-27,Ipsos,A-,115.0,lv,47.87,36.17,46.29243,37.17253,115.0
Montana,2016-10-07,2016-10-27,Ipsos,A-,101.0,lv,31.59,47.82,28.38613,47.41719,101.0
Florida,2016-09-07,2016-09-09,YouGov,B,1193.0,lv,44.0,42.0,47.23942,45.33057,1193.0
New York,2016-10-25,2016-10-31,Google Consumer Surveys,B,1225.0,lv,42.3,30.2,47.72733,36.79164,1225.0
Idaho,2016-10-07,2016-10-27,Ipsos,A-,163.0,lv,30.1,53.87,27.99777,54.4971,163.0
U.S.,2016-10-19,2016-10-24,IBD/TIPP,A-,873.0,lv,41.6,40.8,43.50785,42.65813,873.0
Vermont,2016-10-20,2016-10-28,SurveyMonkey,C-,479.0,lv,53.0,25.0,51.65137,26.54386,479.0
California,2016-09-07,2016-09-13,YouGov,B,1426.0,lv,50.0,33.0,53.26923,36.30931,1426.0
Florida,2016-10-25,2016-10-31,Google Consumer Surveys,B,1286.0,lv,36.5,44.1,41.92147,50.66787,1286.0
U.S.,2016-08-28,2016-09-01,George Washington University (Battleground),B,1000.0,lv,42.0,40.0,44.99749,43.31367,1000.0
Ohio,2016-10-07,2016-10-20,Ipsos,A-,1839.0,lv,43.41,42.75,41.80012,43.88145,1839.0
Rhode Island,2016-10-20,2016-10-24,Google Consumer Surveys,B,60.0,lv,46.65,28.26,52.01336,36.51902,60.0
District of Columbia,2016-10-20,2016-10-24,Google Consumer Surveys,B,64.0,lv,61.66,11.14,67.02351,19.40101,64.0
U.S.,2016-10-20,2016-10-24,Ipsos,A-,1167.0,lv,42.5,37.7,42.53602,39.75961,1167.0
U.S.,2016-10-29,2016-11-04,USC Dornsife/LA Times,,2987.0,lv,42.56,47.96,44.30183,44.69964,2987.0
North Dakota,2016-10-20,2016-10-24,Google Consumer Surveys,B,81.0,lv,19.8,46.07,25.14469,54.08871,81.0
Florida,2016-08-18,2016-08-24,icitizen,,600.0,rv,42.0,37.0,45.90239,43.72286,600.0
Oklahoma,2016-10-20,2016-10-24,Google Consumer Surveys,B,252.0,lv,30.59,40.34,35.90735,48.0066,252.0
Montana,2016-10-20,2016-10-24,Google Consumer Surveys,B,165.0,lv,27.82,38.99,33.15775,46.91924,165.0
U.S.,2016-10-26,2016-11-01,CVOTER International,C+,1383.0,lv,48.81,48.14,46.77929,44.65897,1383.0
California,2016-08-23,2016-08-30,Tulchin Research,B,601.0,rv,49.0,35.0,50.92435,37.15047,601.0
Nevada,2016-10-20,2016-10-24,Google Consumer Surveys,B,236.0,lv,36.38,33.18,41.70558,40.95258,236.0
New Mexico,2016-10-20,2016-10-28,SurveyMonkey,C-,1141.0,lv,43.0,35.0,41.62889,36.31822,1141.0
California,2016-10-21,2016-10-27,Ipsos,A-,712.0,lv,65.14,26.16,64.13215,26.85332,712.0
Pennsylvania,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,42.0,44.65727,43.14425,525.0
Ohio,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,48.0,41.0,48.66836,42.18925,525.0
Nevada,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,43.0,41.0,43.66943,42.19358,525.0
New Hampshire,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,46.0,40.0,46.72089,41.40244,525.0
North Carolina,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,46.0,44.64828,47.10775,525.0
New Hampshire,2016-10-20,2016-10-28,SurveyMonkey,C-,825.0,lv,48.0,36.0,46.65844,37.61486,825.0
South Dakota,2016-10-20,2016-10-28,SurveyMonkey,C-,382.0,lv,30.0,53.0,28.63131,54.3425,382.0
Florida,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,43.0,48.0,43.66631,49.18093,525.0
Mississippi,2016-10-20,2016-10-28,SurveyMonkey,C-,819.0,lv,42.0,49.0,40.59015,49.92947,819.0
U.S.,2016-09-09,2016-09-13,CBS News/New York Times,A-,916.0,lv,42.0,42.0,44.50577,45.14972,916.0
Ohio,2016-09-07,2016-09-09,YouGov,B,994.0,lv,46.0,39.0,49.25855,42.35583,994.0
U.S.,2016-10-31,2016-11-02,The Times-Picayune/Lucid,,2620.0,lv,44.0,39.0,44.42627,41.62366,2620.0
Wisconsin,2016-08-26,2016-08-27,Public Policy Polling,B+,1054.0,lv,48.0,41.0,47.56371,41.77803,1054.0
Missouri,2016-10-14,2016-10-27,Ipsos,A-,334.0,lv,41.67,47.61,39.96693,48.00246,334.0
Nebraska,2016-10-20,2016-10-24,Google Consumer Surveys,B,218.0,lv,25.43,46.87,30.75955,54.69372,218.0
U.S.,2016-10-19,2016-10-23,Ipsos,A-,1181.0,lv,42.5,36.7,42.5397,38.90229,1181.0
Virginia,2016-08-04,2016-08-10,Marist College,A,897.0,rv,43.0,31.0,44.64858,38.0241,897.0
New Hampshire,2016-10-23,2016-10-25,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,45.0,41.0,45.6254,43.42415,525.0
Nevada,2016-10-23,2016-10-25,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,45.0,41.0,45.58877,43.05654,525.0
Maryland,2016-10-14,2016-10-27,Ipsos,A-,394.0,lv,53.64,33.56,52.47089,34.46756,394.0
Connecticut,2016-10-21,2016-11-03,Ipsos,A-,347.0,lv,48.95,41.48,47.8588,41.19305,347.0
U.S.,2016-10-18,2016-10-23,IBD/TIPP,A-,815.0,lv,41.2,41.1,43.11153,43.10081,815.0
U.S.,2016-10-31,2016-10-31,Gravis Marketing,B-,5360.0,rv,46.0,45.0,46.04416,44.79836,5000.0
West Virginia,2016-10-20,2016-10-28,SurveyMonkey,C-,375.0,lv,28.0,61.0,26.62709,62.30016,375.0
South Carolina,2016-10-21,2016-11-03,Ipsos,A-,245.0,lv,44.27,49.19,43.73463,49.29519,245.0
Missouri,2016-10-21,2016-11-03,Ipsos,A-,409.0,lv,40.06,48.67,38.81743,48.13749,409.0
Alabama,2016-10-21,2016-11-03,Ipsos,A-,316.0,lv,38.37,55.07,37.70364,55.02576,316.0
Mississippi,2016-08-11,2016-08-11,Magellan Strategies,C,1084.0,lv,39.0,52.0,40.01066,55.5661,1084.0
Michigan,2016-09-10,2016-09-13,EPIC-MRA,A-,600.0,lv,38.0,35.0,41.76404,39.32707,600.0
Florida,2016-08-22,2016-08-24,"Mason-Dixon Polling & Research, Inc.",B+,625.0,lv,44.0,42.0,45.23872,45.68935,625.0
Arizona,2016-10-11,2016-10-12,Data Orbital,,550.0,lv,43.0,42.0,43.97714,45.18568,550.0
Maine,2016-10-15,2016-10-19,Google Consumer Surveys,B,137.0,lv,36.58,36.27,42.03658,45.15422,137.0
Virginia,2016-09-27,2016-09-30,Christopher Newport University,B-,892.0,lv,42.0,35.0,44.37032,39.61199,892.0
New Mexico,2016-10-20,2016-10-24,Google Consumer Surveys,B,222.0,lv,47.68,23.64,53.012,31.49524,222.0
Kentucky,2016-10-21,2016-11-03,Ipsos,A-,378.0,lv,36.01,59.44,35.30869,59.45367,378.0
Louisiana,2016-10-20,2016-10-24,Google Consumer Surveys,B,279.0,lv,34.12,44.79,39.42543,52.30327,279.0
Texas,2016-10-21,2016-10-27,Ipsos,A-,504.0,lv,33.95,48.36,32.75519,48.78863,504.0
West Virginia,2016-08-09,2016-08-28,R.L. Repass & Partners,C+,386.0,lv,31.0,49.0,32.62628,54.49351,386.0
Michigan,2016-10-14,2016-10-20,Ipsos,A-,441.0,lv,45.18,40.82,43.29627,41.57389,441.0
Arizona,2016-10-14,2016-10-27,Ipsos,A-,552.0,lv,43.32,42.1,41.68376,42.67731,552.0
Indiana,2016-08-13,2016-08-16,Monmouth University,A+,403.0,lv,36.0,47.0,36.70201,50.92336,403.0
North Carolina,2016-09-23,2016-09-23,Gravis Marketing,B-,694.0,lv,44.0,43.0,44.49483,42.99173,694.0
U.S.,2016-08-16,2016-09-12,Pew Research Center,B+,3941.0,rv,45.0,38.0,47.29717,42.37109,3941.0
California,2016-10-25,2016-10-31,Google Consumer Surveys,B,1365.0,lv,46.27,26.85,51.6978,33.44354,1365.0
District of Columbia,2016-10-29,2016-11-04,SurveyMonkey,C-,336.0,lv,87.0,6.0,85.77016,5.683767,336.0
