pollster,state,population,day,weighted_clinton,weighted_trump,samplesize_total,c-minus-t
Google Consumer Surveys,Maryland,lv,2016-10-07,48.14,25.89,368.0,22.25
Google Consumer Surveys,Maryland,lv,2016-10-08,48.14,25.89,368.0,22.25
Google Consumer Surveys,Maryland,lv,2016-10-09,48.14,25.89,368.0,22.25
Google Consumer Surveys,Maryland,lv,2016-10-10,47.49,24.96,349.0,22.53
Google Consumer Surveys,Maryland,lv,2016-10-11,47.49,24.96,349.0,22.53
Google Consumer Surveys,Maryland,lv,2016-10-12,47.49,24.96,349.0,22.53
Google Consumer Surveys,Maryland,lv,2016-10-13,47.49,24.96,349.0,22.53
Google Consumer Surveys,Maryland,lv,2016-10-14,47.49,24.96,349.0,22.53
Google Consumer Surveys,Maryland,lv,2016-10-15,49.12,25.44,414.0,23.679999999999996
Google Consumer Surveys,Maryland,lv,2016-10-16,49.12,25.44,414.0,23.679999999999996
Google Consumer Surveys,Maryland,lv,2016-10-17,49.12,25.44,414.0,23.679999999999996
Google Consumer Surveys,Maryland,lv,2016-10-18,49.12,25.44,414.0,23.679999999999996
Google Consumer Surveys,Maryland,lv,2016-10-19,49.12,25.44,414.0,23.679999999999996
Google Consumer Surveys,Maryland,lv,2016-10-20,48.15,26.0,411.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-21,48.15,26.0,411.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-22,48.15,26.0,411.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-23,48.15,26.0,411.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-24,48.15,26.0,411.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-25,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-26,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-27,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-28,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-29,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-30,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-10-31,47.3,25.15,510.0,22.15
Google Consumer Surveys,Maryland,lv,2016-11-01,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-02,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-03,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-04,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-05,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-06,44.82,31.28,498.0,13.54
Google Consumer Surveys,Maryland,lv,2016-11-07,44.82,31.28,498.0,13.54
Google Consumer Surveys,Massachusetts,lv,2016-08-10,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-11,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-12,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-13,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-14,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-15,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-16,50.33,21.5,444.0,28.83
Google Consumer Surveys,Massachusetts,lv,2016-08-17,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-18,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-19,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-20,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-21,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-22,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-23,50.66,22.0,509.0,28.659999999999997
Google Consumer Surveys,Massachusetts,lv,2016-08-24,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-25,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-26,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-27,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-28,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-29,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-30,48.64,23.46,485.0,25.18
Google Consumer Surveys,Massachusetts,lv,2016-08-31,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-01,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-02,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-03,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-04,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-05,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-06,43.78,24.19,444.0,19.59
Google Consumer Surveys,Massachusetts,lv,2016-09-07,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-08,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-09,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-10,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-11,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-12,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-13,42.9,28.07,481.0,14.829999999999998
Google Consumer Surveys,Massachusetts,lv,2016-09-14,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-15,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-16,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-17,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-18,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-19,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-20,50.03,23.57,435.0,26.46
Google Consumer Surveys,Massachusetts,lv,2016-09-21,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-22,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-23,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-24,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-25,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-26,49.68,22.87,399.0,26.81
Google Consumer Surveys,Massachusetts,lv,2016-09-27,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-09-28,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-09-29,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-09-30,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-10-01,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-10-02,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-10-03,50.2,22.82,465.0,27.380000000000003
Google Consumer Surveys,Massachusetts,lv,2016-10-04,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-05,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-06,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-07,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-08,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-09,52.75,19.79,407.0,32.96
Google Consumer Surveys,Massachusetts,lv,2016-10-10,52.83,18.93,421.0,33.9
Google Consumer Surveys,Massachusetts,lv,2016-10-11,52.83,18.93,421.0,33.9
Google Consumer Surveys,Massachusetts,lv,2016-10-12,52.83,18.93,421.0,33.9
Google Consumer Surveys,Massachusetts,lv,2016-10-13,52.83,18.93,421.0,33.9
Google Consumer Surveys,Massachusetts,lv,2016-10-14,52.83,18.93,421.0,33.9
Google Consumer Surveys,Massachusetts,lv,2016-10-15,48.34,23.72,485.0,24.620000000000005
Google Consumer Surveys,Massachusetts,lv,2016-10-16,48.34,23.72,485.0,24.620000000000005
Google Consumer Surveys,Massachusetts,lv,2016-10-17,48.34,23.72,485.0,24.620000000000005
Google Consumer Surveys,Massachusetts,lv,2016-10-18,48.34,23.72,485.0,24.620000000000005
Google Consumer Surveys,Massachusetts,lv,2016-10-19,48.34,23.72,485.0,24.620000000000005
Google Consumer Surveys,Massachusetts,lv,2016-10-20,50.28,24.09,410.0,26.19
Google Consumer Surveys,Massachusetts,lv,2016-10-21,50.28,24.09,410.0,26.19
Google Consumer Surveys,Massachusetts,lv,2016-10-22,50.28,24.09,410.0,26.19
Google Consumer Surveys,Massachusetts,lv,2016-10-23,50.28,24.09,410.0,26.19
Google Consumer Surveys,Massachusetts,lv,2016-10-24,50.28,24.09,410.0,26.19
Google Consumer Surveys,Massachusetts,lv,2016-10-25,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-26,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-27,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-28,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-29,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-30,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-10-31,46.3,24.67,491.0,21.629999999999995
Google Consumer Surveys,Massachusetts,lv,2016-11-01,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-02,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-03,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-04,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-05,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-06,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Massachusetts,lv,2016-11-07,47.84,25.89,562.0,21.950000000000003
Google Consumer Surveys,Michigan,lv,2016-08-10,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-11,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-12,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-13,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-14,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-15,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-16,37.13,29.03,682.0,8.100000000000001
Google Consumer Surveys,Michigan,lv,2016-08-17,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-18,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-19,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-20,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-21,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-22,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-23,33.34,33.02,542.0,0.3200000000000003
Google Consumer Surveys,Michigan,lv,2016-08-24,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-25,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-26,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-27,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-28,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-29,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-30,34.69,30.08,578.0,4.609999999999999
Google Consumer Surveys,Michigan,lv,2016-08-31,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-01,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-02,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-03,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-04,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-05,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-06,35.17,29.24,615.0,5.930000000000003
Google Consumer Surveys,Michigan,lv,2016-09-07,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-08,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-09,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-10,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-11,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-12,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-13,34.61,31.05,681.0,3.5599999999999987
Google Consumer Surveys,Michigan,lv,2016-09-14,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-15,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-16,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-17,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-18,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-19,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-20,34.85,33.58,613.0,1.2700000000000031
Google Consumer Surveys,Michigan,lv,2016-09-21,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-22,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-23,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-24,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-25,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-26,37.28,29.9,516.0,7.380000000000003
Google Consumer Surveys,Michigan,lv,2016-09-27,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-09-28,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-09-29,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-09-30,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-10-01,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-10-02,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-10-03,37.61,30.85,657.0,6.759999999999998
Google Consumer Surveys,Michigan,lv,2016-10-04,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-05,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-06,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-07,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-08,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-09,39.75,28.98,587.0,10.77
Google Consumer Surveys,Michigan,lv,2016-10-10,33.6,33.62,581.0,-0.01999999999999602
Google Consumer Surveys,Michigan,lv,2016-10-11,33.6,33.62,581.0,-0.01999999999999602
Google Consumer Surveys,Michigan,lv,2016-10-12,33.6,33.62,581.0,-0.01999999999999602
Google Consumer Surveys,Michigan,lv,2016-10-13,33.6,33.62,581.0,-0.01999999999999602
Google Consumer Surveys,Michigan,lv,2016-10-14,33.6,33.62,581.0,-0.01999999999999602
Google Consumer Surveys,Michigan,lv,2016-10-15,37.41,28.49,637.0,8.919999999999998
Google Consumer Surveys,Michigan,lv,2016-10-16,37.41,28.49,637.0,8.919999999999998
Google Consumer Surveys,Michigan,lv,2016-10-17,37.41,28.49,637.0,8.919999999999998
Google Consumer Surveys,Michigan,lv,2016-10-18,37.41,28.49,637.0,8.919999999999998
Google Consumer Surveys,Michigan,lv,2016-10-19,37.41,28.49,637.0,8.919999999999998
Google Consumer Surveys,Michigan,lv,2016-10-20,38.94,32.42,596.0,6.519999999999996
Google Consumer Surveys,Michigan,lv,2016-10-21,38.94,32.42,596.0,6.519999999999996
Google Consumer Surveys,Michigan,lv,2016-10-22,38.94,32.42,596.0,6.519999999999996
Google Consumer Surveys,Michigan,lv,2016-10-23,38.94,32.42,596.0,6.519999999999996
Google Consumer Surveys,Michigan,lv,2016-10-24,38.94,32.42,596.0,6.519999999999996
Google Consumer Surveys,Michigan,lv,2016-10-25,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-26,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-27,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-28,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-29,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-30,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-10-31,37.5,34.9,677.0,2.6000000000000014
Google Consumer Surveys,Michigan,lv,2016-11-01,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-02,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-03,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-04,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-05,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-06,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Michigan,lv,2016-11-07,35.18,34.05,821.0,1.1300000000000026
Google Consumer Surveys,Minnesota,lv,2016-08-10,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-11,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-12,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-13,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-14,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-15,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-16,40.71,25.69,555.0,15.02
Google Consumer Surveys,Minnesota,lv,2016-08-17,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-18,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-19,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-20,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-21,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-22,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-23,36.85,24.96,524.0,11.89
Google Consumer Surveys,Minnesota,lv,2016-08-24,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-25,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-26,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-27,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-28,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-29,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-30,38.29,24.77,524.0,13.52
Google Consumer Surveys,Minnesota,lv,2016-08-31,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-01,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-02,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-03,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-04,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-05,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-06,34.61,26.85,632.0,7.759999999999998
Google Consumer Surveys,Minnesota,lv,2016-09-07,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-08,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-09,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-10,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-11,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-12,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-13,34.49,25.54,426.0,8.950000000000003
Google Consumer Surveys,Minnesota,lv,2016-09-14,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-15,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-16,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-17,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-18,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-19,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-20,37.2,26.85,579.0,10.350000000000001
Google Consumer Surveys,Minnesota,lv,2016-09-21,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-22,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-23,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-24,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-25,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-26,37.46,28.24,547.0,9.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-09-27,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-09-28,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-09-29,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-09-30,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-10-01,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-10-02,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-10-03,37.89,28.42,578.0,9.469999999999999
Google Consumer Surveys,Minnesota,lv,2016-10-04,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-05,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-06,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-07,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-08,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-09,39.04,25.42,580.0,13.619999999999997
Google Consumer Surveys,Minnesota,lv,2016-10-10,35.74,30.31,597.0,5.430000000000003
Google Consumer Surveys,Minnesota,lv,2016-10-11,35.74,30.31,597.0,5.430000000000003
Google Consumer Surveys,Minnesota,lv,2016-10-12,35.74,30.31,597.0,5.430000000000003
Google Consumer Surveys,Minnesota,lv,2016-10-13,35.74,30.31,597.0,5.430000000000003
Google Consumer Surveys,Minnesota,lv,2016-10-14,35.74,30.31,597.0,5.430000000000003
Google Consumer Surveys,Minnesota,lv,2016-10-15,35.95,28.73,596.0,7.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-10-16,35.95,28.73,596.0,7.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-10-17,35.95,28.73,596.0,7.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-10-18,35.95,28.73,596.0,7.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-10-19,35.95,28.73,596.0,7.220000000000002
Google Consumer Surveys,Minnesota,lv,2016-10-20,36.63,29.88,596.0,6.7500000000000036
Google Consumer Surveys,Minnesota,lv,2016-10-21,36.63,29.88,596.0,6.7500000000000036
Google Consumer Surveys,Minnesota,lv,2016-10-22,36.63,29.88,596.0,6.7500000000000036
Google Consumer Surveys,Minnesota,lv,2016-10-23,36.63,29.88,596.0,6.7500000000000036
Google Consumer Surveys,Minnesota,lv,2016-10-24,36.63,29.88,596.0,6.7500000000000036
Google Consumer Surveys,Minnesota,lv,2016-10-25,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-26,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-27,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-28,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-29,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-30,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-10-31,34.77,28.58,688.0,6.190000000000005
Google Consumer Surveys,Minnesota,lv,2016-11-01,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-02,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-03,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-04,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-05,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-06,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Minnesota,lv,2016-11-07,35.35,31.38,695.0,3.9700000000000024
Google Consumer Surveys,Mississippi,lv,2016-08-10,17.52,52.99,268.0,-35.47
Google Consumer Surveys,Mississippi,lv,2016-08-11,17.52,52.99,268.0,-35.47
Google Consumer Surveys,Mississippi,lv,2016-08-12,17.52,52.99,268.0,-35.47
